ID_dest;X_dest;Y_dest
5785640;24.8560344;60.3999406
5785641;24.8605682;60.4000135
5785642;24.865102;60.4000863
5785643;24.8696358;60.4001589
5787544;24.8425817;60.3974778
5787545;24.8471151;60.3975511
5787546;24.8516485;60.3976244
5787547;24.856182;60.3976975
5787548;24.8607154;60.3977704
5787549;24.8652489;60.3978432
5787550;24.8697825;60.3979158
5789447;24.829131;60.3950136
5789448;24.833664;60.3950874
5789449;24.8381971;60.3951611
5789450;24.8427302;60.3952347
5789451;24.8472632;60.3953081
5789452;24.8517964;60.3953813
5789453;24.8563295;60.3954544
5789454;24.8608627;60.3955273
5789455;24.8653958;60.3956001
5789456;24.8699291;60.3956727
5791353;24.8247477;60.3926965
5791354;24.8292804;60.3927705
5791355;24.8338131;60.3928443
5791356;24.8383458;60.392918
5791357;24.8428786;60.3929916
5791358;24.8474114;60.393065
5791359;24.8519442;60.3931382
5791360;24.856477;60.3932113
5791361;24.8610099;60.3932842
5791362;24.8655427;60.3933569
5791363;24.8700756;60.3934295
5793258;24.820365;60.3903793
5793259;24.8248974;60.3904534
5793260;24.8294298;60.3905274
5793261;24.8339622;60.3906013
5793262;24.8384946;60.390675
5793263;24.843027;60.3907485
5793264;24.8475595;60.3908219
5793265;24.852092;60.3908951
5793266;24.8566245;60.3909681
5793267;24.8611571;60.3910411
5793268;24.8656896;60.3911138
5793269;24.8702222;60.3911864
5793270;24.8747548;60.3912589
5795164;24.820515;60.3881362
5795165;24.825047;60.3882104
5795166;24.8295791;60.3882844
5795167;24.8341112;60.3883582
5795168;24.8386433;60.3884319
5795169;24.8431754;60.3885054
5795170;24.8477076;60.3885788
5795171;24.8522398;60.388652
5795172;24.856772;60.388725
5795173;24.8613042;60.3887979
5795174;24.8658365;60.3888707
5795175;24.8703687;60.3889433
5795176;24.874901;60.3890157
5797069;24.8161332;60.3858189
5797070;24.8206649;60.3858932
5797071;24.8251967;60.3859673
5797072;24.8297284;60.3860413
5797073;24.8342602;60.3861151
5797074;24.838792;60.3861888
5797075;24.8433238;60.3862623
5797076;24.8478557;60.3863357
5797077;24.8523875;60.3864089
5797078;24.8569194;60.3864819
5797079;24.8614514;60.3865548
5797080;24.8659833;60.3866276
5797081;24.8705153;60.3867002
5797082;24.8750473;60.3867726
5798974;24.8117521;60.3835014
5798975;24.8162835;60.3835758
5798976;24.8208149;60.3836501
5798977;24.8253463;60.3837242
5798978;24.8298777;60.3837982
5798979;24.8344092;60.383872
5798980;24.8389407;60.3839457
5798981;24.8434722;60.3840192
5798982;24.8480037;60.3840926
5798983;24.8525353;60.3841658
5798984;24.8570669;60.3842388
5798985;24.8615985;60.3843117
5798986;24.8661301;60.3843844
5798987;24.8706618;60.384457
5798988;24.8751934;60.3845294
5800879;24.8073716;60.3811838
5800880;24.8119026;60.3812584
5800881;24.8164337;60.3813328
5800882;24.8209648;60.3814071
5800883;24.8254959;60.3814812
5800884;24.830027;60.3815551
5800885;24.8345581;60.381629
5800886;24.8390893;60.3817026
5800887;24.8436205;60.3817761
5800888;24.8481517;60.3818495
5800889;24.852683;60.3819227
5800890;24.8572143;60.3819957
5800891;24.8617456;60.3820686
5800892;24.8662769;60.3821413
5800893;24.8708082;60.3822139
5800894;24.8753396;60.3822863
5800895;24.879871;60.3823586
5802783;24.8029917;60.378866
5802784;24.8075224;60.3789407
5802785;24.8120531;60.3790153
5802786;24.8165839;60.3790897
5802787;24.8211146;60.379164
5802788;24.8256454;60.3792381
5802789;24.8301762;60.3793121
5802790;24.8347071;60.3793859
5802791;24.8392379;60.3794595
5802792;24.8437688;60.379533
5802793;24.8482997;60.3796064
5802794;24.8528307;60.3796795
5802795;24.8573616;60.3797526
5802796;24.8618926;60.3798255
5802797;24.8664236;60.3798982
5802798;24.8709547;60.3799708
5802799;24.8754857;60.3800432
5802800;24.8800168;60.3801154
5802801;24.8845479;60.3801875
5804689;24.8031428;60.376623
5804690;24.8076732;60.3766977
5804691;24.8122036;60.3767723
5804692;24.816734;60.3768467
5804693;24.8212645;60.3769209
5804694;24.8257949;60.376995
5804695;24.8303255;60.377069
5804696;24.834856;60.3771428
5804697;24.8393865;60.3772164
5804698;24.8439171;60.3772899
5804699;24.8484477;60.3773633
5804700;24.8529784;60.3774364
5804701;24.857509;60.3775095
5804702;24.8620397;60.3775823
5804703;24.8665704;60.3776551
5804704;24.8711011;60.3777276
5804705;24.8756318;60.3778
5804706;24.8801626;60.3778723
5804707;24.8846934;60.3779444
5806593;24.7987638;60.3743051
5806594;24.8032938;60.3743799
5806595;24.8078239;60.3744546
5806596;24.812354;60.3745292
5806597;24.8168841;60.3746036
5806598;24.8214143;60.3746779
5806599;24.8259445;60.374752
5806600;24.8304747;60.3748259
5806601;24.8350049;60.3748997
5806602;24.8395351;60.3749733
5806603;24.8440654;60.3750468
5806604;24.8485957;60.3751201
5806605;24.853126;60.3751933
5806606;24.8576563;60.3752663
5806607;24.8621867;60.3753392
5806608;24.8667171;60.3754119
5806609;24.8712475;60.3754845
5806610;24.8757779;60.3755569
5806611;24.8803084;60.3756291
5806612;24.8848389;60.3757012
5806613;24.8893694;60.3757732
5808496;24.7943854;60.371987
5808497;24.7989151;60.372062
5808498;24.8034449;60.3721369
5808499;24.8079746;60.3722116
5808500;24.8125044;60.3722862
5808501;24.8170342;60.3723606
5808502;24.8215641;60.3724348
5808503;24.8260939;60.3725089
5808504;24.8306238;60.3725828
5808505;24.8351537;60.3726566
5808506;24.8396837;60.3727302
5808507;24.8442136;60.3728037
5808508;24.8487436;60.372877
5808509;24.8532736;60.3729502
5808510;24.8578036;60.3730232
5808511;24.8623337;60.3730961
5808512;24.8668638;60.3731688
5808513;24.8713939;60.3732413
5808514;24.875924;60.3733137
5808515;24.8804541;60.373386
5808516;24.8849843;60.3734581
5808517;24.8895145;60.37353
5808518;24.8940447;60.3736018
5810399;24.7900077;60.3696688
5810400;24.794537;60.369744
5810401;24.7990665;60.369819
5810402;24.8035959;60.3698939
5810403;24.8081253;60.3699686
5810404;24.8126548;60.3700431
5810405;24.8171843;60.3701175
5810406;24.8217139;60.3701917
5810407;24.8262434;60.3702658
5810408;24.830773;60.3703398
5810409;24.8353026;60.3704135
5810410;24.8398322;60.3704872
5810411;24.8443618;60.3705606
5810412;24.8488915;60.3706339
5810413;24.8534212;60.3707071
5810414;24.8579509;60.3707801
5810415;24.8624807;60.370853
5810416;24.8670104;60.3709257
5810417;24.8715402;60.3709982
5810418;24.87607;60.3710706
5810419;24.8805999;60.3711428
5810420;24.8851297;60.3712149
5810421;24.8896596;60.3712868
5810422;24.8941895;60.3713586
5810423;24.8987194;60.3714302
5810457;25.0527504;60.3737736
5810458;25.0572811;60.3738398
5810462;25.0754041;60.3741032
5810463;25.0799349;60.3741686
5810464;25.0844657;60.3742339
5812300;24.7856305;60.3673505
5812301;24.7901596;60.3674258
5812302;24.7946887;60.367501
5812303;24.7992178;60.367576
5812304;24.8037469;60.3676508
5812305;24.808276;60.3677255
5812306;24.8128052;60.3678001
5812307;24.8173344;60.3678744
5812308;24.8218636;60.3679487
5812309;24.8263928;60.3680227
5812310;24.8309221;60.3680967
5812311;24.8354514;60.3681704
5812312;24.8399807;60.3682441
5812313;24.84451;60.3683175
5812314;24.8490394;60.3683908
5812315;24.8535688;60.368464
5812316;24.8580982;60.368537
5812317;24.8626276;60.3686098
5812318;24.8671571;60.3686825
5812319;24.8716865;60.3687551
5812320;24.876216;60.3688274
5812321;24.8807456;60.3688997
5812322;24.8852751;60.3689717
5812323;24.8898047;60.3690437
5812324;24.8943343;60.3691154
5812325;24.8988639;60.369187
5812353;25.0257023;60.3711296
5812354;25.0302326;60.3711968
5812355;25.0347629;60.3712638
5812356;25.0392932;60.3713306
5812358;25.0483539;60.3714638
5812359;25.0528842;60.3715302
5812360;25.0574146;60.3715964
5812361;25.0619451;60.3716625
5812362;25.0664755;60.3717284
5812363;25.071006;60.3717941
5812364;25.0755364;60.3718597
5812365;25.0800669;60.3719252
5812366;25.0845975;60.3719905
5814173;24.6589882;60.3629364
5814174;24.6635162;60.363016
5814175;24.6680443;60.3630955
5814176;24.6725724;60.3631748
5814201;24.7857828;60.3651075
5814202;24.7903115;60.3651828
5814203;24.7948402;60.3652579
5814204;24.799369;60.3653329
5814205;24.8038978;60.3654078
5814206;24.8084267;60.3654825
5814207;24.8129555;60.365557
5814208;24.8174844;60.3656314
5814209;24.8220133;60.3657056
5814210;24.8265423;60.3657797
5814211;24.8310712;60.3658536
5814212;24.8356002;60.3659274
5814213;24.8401292;60.366001
5814214;24.8446582;60.3660744
5814215;24.8491873;60.3661477
5814216;24.8537163;60.3662209
5814217;24.8582454;60.3662939
5814218;24.8627745;60.3663667
5814219;24.8673037;60.3664394
5814220;24.8718329;60.3665119
5814221;24.876362;60.3665843
5814222;24.8808913;60.3666565
5814223;24.8854205;60.3667286
5814224;24.8899497;60.3668005
5814225;24.894479;60.3668723
5814226;24.8990083;60.3669439
5814227;24.9035377;60.3670153
5814253;25.0213081;60.368819
5814254;25.0258381;60.3688863
5814255;25.030368;60.3689534
5814256;25.034898;60.3690204
5814257;25.039428;60.3690872
5814258;25.043958;60.3691539
5814259;25.0484881;60.3692204
5814260;25.0530181;60.3692868
5814261;25.0575482;60.369353
5814262;25.0620783;60.3694191
5814263;25.0666084;60.369485
5814264;25.0711386;60.3695507
5814265;25.0756687;60.3696163
5814266;25.0801989;60.3696818
5814267;25.0847291;60.3697471
5814268;25.0892594;60.3698122
5816065;24.6274557;60.360132
5816068;24.6410384;60.3603736
5816069;24.645566;60.3604539
5816070;24.6500937;60.3605339
5816071;24.6546213;60.3606138
5816072;24.659149;60.3606936
5816073;24.6636768;60.3607732
5816074;24.6682045;60.3608527
5816075;24.6727323;60.360932
5816099;24.7814065;60.362789
5816100;24.7859349;60.3628645
5816101;24.7904634;60.3629398
5816102;24.7949918;60.3630149
5816103;24.7995203;60.3630899
5816104;24.8040488;60.3631647
5816105;24.8085773;60.3632394
5816106;24.8131059;60.3633139
5816107;24.8176344;60.3633883
5816108;24.822163;60.3634625
5816109;24.8266916;60.3635366
5816110;24.8312203;60.3636105
5816111;24.835749;60.3636843
5816112;24.8402776;60.3637579
5816113;24.8448064;60.3638313
5816114;24.8493351;60.3639046
5816115;24.8538639;60.3639778
5816116;24.8583926;60.3640507
5816117;24.8629214;60.3641236
5816118;24.8674503;60.3641963
5816119;24.8719791;60.3642688
5816120;24.876508;60.3643411
5816121;24.8810369;60.3644134
5816122;24.8855658;60.3644854
5816123;24.8900948;60.3645573
5816124;24.8946238;60.3646291
5816125;24.8991528;60.3647007
5816126;24.9036818;60.3647721
5816127;24.9082108;60.3648434
5816152;25.0214442;60.3665756
5816153;25.0259738;60.3666429
5816154;25.0305034;60.3667101
5816155;25.0350331;60.366777
5816156;25.0395628;60.3668439
5816157;25.0440925;60.3669105
5816158;25.0486222;60.366977
5816159;25.053152;60.3670434
5816160;25.0576817;60.3671096
5816161;25.0622115;60.3671757
5816162;25.0667413;60.3672416
5816163;25.0712712;60.3673073
5816164;25.075801;60.3673729
5816165;25.0803309;60.3674383
5816166;25.0848608;60.3675036
5816167;25.0893907;60.3675687
5817963;24.6230915;60.3578084
5817964;24.6276187;60.3578893
5817965;24.6321459;60.3579699
5817966;24.6366732;60.3580505
5817967;24.6412005;60.3581308
5817968;24.6457278;60.3582111
5817969;24.6502551;60.3582911
5817970;24.6547825;60.358371
5817971;24.6593099;60.3584508
5817972;24.6638373;60.3585304
5817973;24.6683648;60.3586098
5817974;24.6728922;60.3586891
5817975;24.6774197;60.3587683
5817976;24.6819472;60.3588473
5817977;24.6864748;60.3589261
5817997;24.7770309;60.3604704
5817998;24.781559;60.360546
5817999;24.7860871;60.3606215
5818000;24.7906152;60.3606967
5818001;24.7951434;60.3607719
5818002;24.7996715;60.3608469
5818003;24.8041997;60.3609217
5818004;24.8087279;60.3609964
5818005;24.8132562;60.3610709
5818006;24.8177844;60.3611453
5818007;24.8223127;60.3612195
5818008;24.826841;60.3612935
5818009;24.8313693;60.3613674
5818010;24.8358977;60.3614412
5818011;24.8404261;60.3615148
5818012;24.8449545;60.3615882
5818013;24.8494829;60.3616615
5818014;24.8540114;60.3617346
5818015;24.8585398;60.3618076
5818016;24.8630683;60.3618804
5818017;24.8675968;60.3619531
5818018;24.8721254;60.3620256
5818019;24.876654;60.362098
5818020;24.8811826;60.3621702
5818021;24.8857112;60.3622423
5818022;24.8902398;60.3623142
5818023;24.8947685;60.3623859
5818024;24.8992971;60.3624575
5818025;24.9038259;60.3625289
5818026;24.9083546;60.3626002
5818027;24.9128833;60.3626714
5818052;25.0261095;60.3643996
5818053;25.0306388;60.3644667
5818054;25.0351682;60.3645337
5818055;25.0396975;60.3646005
5818056;25.0442269;60.3646672
5818057;25.0487564;60.3647337
5818058;25.0532858;60.3648
5818059;25.0578153;60.3648662
5818060;25.0623447;60.3649323
5818061;25.0668742;60.3649982
5818062;25.0714038;60.3650639
5818063;25.0759333;60.3651295
5818064;25.0804629;60.3651949
5818065;25.0849925;60.3652602
5818066;25.0895221;60.3653253
5818067;25.0940517;60.3653903
5818068;25.0985814;60.3654551
5818069;25.103111;60.3655197
5818070;25.1076407;60.3655843
5818071;25.1121704;60.3656486
5818072;25.1167002;60.3657128
5819860;24.6232548;60.3555657
5819861;24.6277817;60.3556465
5819862;24.6323086;60.3557272
5819863;24.6368356;60.3558077
5819864;24.6413626;60.3558881
5819865;24.6458896;60.3559683
5819866;24.6504166;60.3560483
5819867;24.6549436;60.3561282
5819868;24.6594707;60.356208
5819869;24.6639978;60.3562876
5819870;24.668525;60.356367
5819871;24.6730521;60.3564463
5819872;24.6775793;60.3565254
5819873;24.6821065;60.3566044
5819874;24.6866338;60.3566832
5819875;24.691161;60.3567619
5819876;24.6956883;60.3568404
5819893;24.772656;60.3581517
5819894;24.7771837;60.3582274
5819895;24.7817115;60.358303
5819896;24.7862392;60.3583784
5819897;24.790767;60.3584537
5819898;24.7952949;60.3585288
5819899;24.7998227;60.3586038
5819900;24.8043506;60.3586786
5819901;24.8088785;60.3587533
5819902;24.8134064;60.3588278
5819903;24.8179344;60.3589022
5819904;24.8224624;60.3589764
5819905;24.8269903;60.3590504
5819906;24.8315184;60.3591243
5819907;24.8360464;60.3591981
5819908;24.8405745;60.3592717
5819909;24.8451026;60.3593451
5819910;24.8496307;60.3594184
5819911;24.8541588;60.3594915
5819912;24.858687;60.3595645
5819913;24.8632152;60.3596373
5819914;24.8677434;60.35971
5819915;24.8722716;60.3597825
5819916;24.8767999;60.3598548
5819917;24.8813282;60.359927
5819918;24.8858565;60.3599991
5819919;24.8903848;60.360071
5819920;24.8949131;60.3601427
5819921;24.8994415;60.3602143
5819922;24.9039699;60.3602858
5819923;24.9084983;60.360357
5819924;24.9130268;60.3604282
5819949;25.0262451;60.3621562
5819950;25.0307742;60.3622233
5819951;25.0353032;60.3622903
5819952;25.0398323;60.3623571
5819953;25.0443614;60.3624238
5819954;25.0488905;60.3624903
5819955;25.0534196;60.3625566
5819956;25.0579487;60.3626228
5819957;25.0624779;60.3626889
5819958;25.0670071;60.3627547
5819959;25.0715363;60.3628205
5819960;25.0760656;60.3628861
5819961;25.0805948;60.3629515
5819962;25.0851241;60.3630167
5819963;25.0896534;60.3630819
5819964;25.0941827;60.3631468
5819965;25.0987121;60.3632116
5819966;25.1032414;60.3632763
5819967;25.1077708;60.3633408
5819968;25.1123002;60.3634051
5819969;25.1168296;60.3634693
5821755;24.6188915;60.3532419
5821756;24.6234181;60.3533229
5821757;24.6279447;60.3534037
5821758;24.6324713;60.3534844
5821759;24.6369979;60.3535649
5821760;24.6415246;60.3536453
5821761;24.6460513;60.3537255
5821762;24.650578;60.3538055
5821763;24.6551048;60.3538854
5821764;24.6596315;60.3539652
5821765;24.6641583;60.3540447
5821766;24.6686852;60.3541242
5821767;24.673212;60.3542035
5821768;24.6777389;60.3542826
5821769;24.6822658;60.3543616
5821770;24.6867927;60.3544404
5821771;24.6913196;60.354519
5821772;24.6958466;60.3545975
5821773;24.7003736;60.3546759
5821788;24.7682816;60.3558328
5821789;24.772809;60.3559087
5821790;24.7773364;60.3559844
5821791;24.7818639;60.35606
5821792;24.7863913;60.3561354
5821793;24.7909188;60.3562107
5821794;24.7954464;60.3562858
5821795;24.7999739;60.3563608
5821796;24.8045015;60.3564356
5821797;24.8090291;60.3565103
5821798;24.8135567;60.3565848
5821799;24.8180843;60.3566591
5821800;24.822612;60.3567333
5821801;24.8271397;60.3568074
5821802;24.8316674;60.3568813
5821803;24.8361951;60.356955
5821804;24.8407229;60.3570286
5821805;24.8452507;60.357102
5821806;24.8497785;60.3571753
5821807;24.8543063;60.3572484
5821808;24.8588341;60.3573214
5821809;24.863362;60.3573942
5821810;24.8678899;60.3574668
5821811;24.8724178;60.3575393
5821812;24.8769458;60.3576117
5821813;24.8814738;60.3576839
5821814;24.8860017;60.3577559
5821815;24.8905298;60.3578278
5821816;24.8950578;60.3578996
5821817;24.8995859;60.3579711
5821818;24.904114;60.3580426
5821819;24.9086421;60.3581138
5821820;24.9131702;60.358185
5821821;24.9176983;60.3582559
5821846;25.0309095;60.35998
5821847;25.0354382;60.3600469
5821848;25.039967;60.3601137
5821849;25.0444958;60.3601804
5821850;25.0490246;60.3602469
5821851;25.0535534;60.3603132
5821852;25.0580822;60.3603794
5821853;25.0626111;60.3604454
5821854;25.06714;60.3605113
5821855;25.0716689;60.3605771
5821856;25.0761978;60.3606426
5821857;25.0807267;60.360708
5821858;25.0852557;60.3607733
5821859;25.0897847;60.3608384
5821860;25.0943137;60.3609034
5821861;25.0988427;60.3609682
5821862;25.1033718;60.3610328
5821863;25.1079009;60.3610973
5821864;25.1124299;60.3611617
5821865;25.1169591;60.3612258
5821866;25.1214882;60.3612899
5821867;25.1260173;60.3613538
5823649;24.6190551;60.3509992
5823650;24.6235814;60.3510801
5823651;24.6281076;60.351161
5823652;24.6326339;60.3512416
5823653;24.6371603;60.3513221
5823654;24.6416866;60.3514025
5823655;24.646213;60.3514827
5823656;24.6507394;60.3515627
5823657;24.6552659;60.3516426
5823658;24.6597923;60.3517223
5823659;24.6643188;60.3518019
5823660;24.6688453;60.3518813
5823661;24.6733718;60.3519606
5823662;24.6778984;60.3520397
5823663;24.682425;60.3521187
5823664;24.6869516;60.3521975
5823665;24.6914782;60.3522762
5823666;24.6960049;60.3523547
5823667;24.7005316;60.352433
5823668;24.7050583;60.3525112
5823669;24.7095851;60.3525893
5823681;24.7639079;60.3535137
5823682;24.7684349;60.3535898
5823683;24.772962;60.3536657
5823684;24.7774891;60.3537414
5823685;24.7820163;60.353817
5823686;24.7865434;60.3538924
5823687;24.7910706;60.3539677
5823688;24.7955978;60.3540428
5823689;24.8001251;60.3541177
5823690;24.8046523;60.3541926
5823691;24.8091796;60.3542672
5823692;24.8137069;60.3543417
5823693;24.8182342;60.3544161
5823694;24.8227616;60.3544902
5823695;24.827289;60.3545643
5823696;24.8318164;60.3546382
5823697;24.8363438;60.3547119
5823698;24.8408712;60.3547855
5823699;24.8453987;60.3548589
5823700;24.8499262;60.3549322
5823701;24.8544537;60.3550053
5823702;24.8589813;60.3550782
5823703;24.8635088;60.355151
5823704;24.8680364;60.3552237
5823705;24.872564;60.3552962
5823706;24.8770917;60.3553685
5823707;24.8816193;60.3554407
5823708;24.886147;60.3555128
5823709;24.8906747;60.3555847
5823710;24.8952024;60.3556564
5823711;24.8997302;60.355728
5823712;24.904258;60.3557994
5823713;24.9087858;60.3558706
5823714;24.9133136;60.3559418
5823715;24.9178414;60.3560127
5823741;25.0355732;60.3578036
5823742;25.0401017;60.3578704
5823743;25.0446301;60.357937
5823744;25.0491586;60.3580035
5823745;25.0536871;60.3580698
5823746;25.0582157;60.358136
5823747;25.0627442;60.358202
5823748;25.0672728;60.3582679
5823749;25.0718014;60.3583336
5823750;25.07633;60.3583992
5823751;25.0808586;60.3584646
5823752;25.0853873;60.3585299
5823753;25.089916;60.358595
5823754;25.0944447;60.3586599
5823755;25.0989734;60.3587247
5823756;25.1035021;60.3587894
5823757;25.1080309;60.3588538
5823758;25.1125597;60.3589182
5823759;25.1170885;60.3589824
5823760;25.1216173;60.3590464
5823761;25.1261461;60.3591103
5823762;25.130675;60.359174
5823763;25.1352039;60.3592375
5823764;25.1397328;60.359301
5823765;25.1442617;60.3593642
5823766;25.1487907;60.3594273
5823767;25.1533196;60.3594903
5825540;24.6146927;60.3486753
5825541;24.6192186;60.3487564
5825542;24.6237446;60.3488374
5825543;24.6282706;60.3489182
5825544;24.6327966;60.3489988
5825545;24.6373226;60.3490793
5825546;24.6418486;60.3491597
5825547;24.6463747;60.3492399
5825548;24.6509008;60.3493199
5825549;24.6554269;60.3493998
5825550;24.6599531;60.3494795
5825551;24.6644792;60.3495591
5825552;24.6690054;60.3496385
5825553;24.6735317;60.3497178
5825554;24.6780579;60.3497969
5825555;24.6825842;60.3498758
5825556;24.6871105;60.3499546
5825557;24.6916368;60.3500333
5825558;24.6961632;60.3501118
5825559;24.7006896;60.3501901
5825560;24.705216;60.3502683
5825561;24.7097424;60.3503463
5825562;24.7142689;60.3504242
5825563;24.7187953;60.350502
5825573;24.7640615;60.3512708
5825574;24.7685882;60.3513468
5825575;24.773115;60.3514227
5825576;24.7776418;60.3514984
5825577;24.7821686;60.351574
5825578;24.7866955;60.3516494
5825579;24.7912224;60.3517246
5825580;24.7957493;60.3517998
5825581;24.8002762;60.3518747
5825582;24.8048031;60.3519495
5825583;24.8093301;60.3520242
5825584;24.8138571;60.3520986
5825585;24.8183841;60.352173
5825586;24.8229112;60.3522472
5825587;24.8274382;60.3523212
5825588;24.8319653;60.3523951
5825589;24.8364924;60.3524688
5825590;24.8410196;60.3525424
5825591;24.8455467;60.3526158
5825592;24.8500739;60.3526891
5825593;24.8546011;60.3527622
5825594;24.8591284;60.3528351
5825595;24.8636556;60.3529079
5825596;24.8681829;60.3529806
5825597;24.8727102;60.3530531
5825598;24.8772375;60.3531254
5825599;24.8817649;60.3531976
5825600;24.8862922;60.3532696
5825601;24.8908196;60.3533415
5825602;24.8953471;60.3534132
5825603;24.8998745;60.3534848
5825604;24.904402;60.3535562
5825605;24.9089294;60.3536274
5825606;24.913457;60.3536985
5825607;24.9179845;60.3537695
5825608;24.922512;60.3538403
5825633;25.0357082;60.3555602
5825634;25.0402364;60.355627
5825635;25.0447645;60.3556936
5825636;25.0492927;60.3557601
5825637;25.0538209;60.3558264
5825638;25.0583491;60.3558926
5825639;25.0628773;60.3559586
5825640;25.0674056;60.3560245
5825641;25.0719339;60.3560902
5825642;25.0764622;60.3561558
5825643;25.0809905;60.3562212
5825644;25.0855189;60.3562864
5825645;25.0900472;60.3563515
5825646;25.0945756;60.3564165
5825647;25.099104;60.3564813
5825648;25.1036324;60.3565459
5825649;25.1081609;60.3566104
5825650;25.1126894;60.3566747
5825651;25.1172179;60.3567389
5825652;25.1217464;60.3568029
5825653;25.1262749;60.3568668
5825654;25.1308035;60.3569305
5825655;25.135332;60.356994
5825656;25.1398606;60.3570574
5825657;25.1443892;60.3571207
5825658;25.1489179;60.3571838
5827432;24.6148566;60.3464326
5827433;24.6193822;60.3465137
5827434;24.6239078;60.3465946
5827435;24.6284335;60.3466754
5827436;24.6329591;60.3467561
5827437;24.6374849;60.3468365
5827438;24.6420106;60.3469169
5827439;24.6465363;60.3469971
5827440;24.6510621;60.3470771
5827441;24.655588;60.347157
5827442;24.6601138;60.3472367
5827443;24.6646397;60.3473162
5827444;24.6691655;60.3473957
5827445;24.6736915;60.3474749
5827446;24.6782174;60.347554
5827447;24.6827434;60.347633
5827448;24.6872694;60.3477118
5827449;24.6917954;60.3477904
5827450;24.6963214;60.3478689
5827451;24.7008475;60.3479472
5827452;24.7053736;60.3480254
5827453;24.7098997;60.3481034
5827454;24.7144259;60.3481813
5827455;24.718952;60.348259
5827456;24.7234782;60.3483366
5827457;24.7280044;60.348414
5827464;24.7596887;60.3489516
5827465;24.7642151;60.3490278
5827466;24.7687415;60.3491038
5827467;24.773268;60.3491797
5827468;24.7777945;60.3492554
5827469;24.782321;60.3493309
5827470;24.7868475;60.3494064
5827471;24.7913741;60.3494816
5827472;24.7959007;60.3495567
5827473;24.8004273;60.3496317
5827474;24.8049539;60.3497065
5827475;24.8094806;60.3497811
5827476;24.8140073;60.3498556
5827477;24.818534;60.3499299
5827478;24.8230607;60.3500041
5827479;24.8275875;60.3500781
5827480;24.8321143;60.350152
5827481;24.8366411;60.3502257
5827482;24.8411679;60.3502993
5827483;24.8456947;60.3503727
5827484;24.8502216;60.3504459
5827485;24.8547485;60.350519
5827486;24.8592754;60.350592
5827487;24.8638024;60.3506648
5827488;24.8683293;60.3507374
5827489;24.8728563;60.3508099
5827490;24.8773833;60.3508822
5827491;24.8819104;60.3509544
5827492;24.8864374;60.3510264
5827493;24.8909645;60.3510983
5827494;24.8954916;60.35117
5827495;24.9000188;60.3512416
5827496;24.9045459;60.351313
5827497;24.9090731;60.3513842
5827498;24.9136003;60.3514553
5827499;24.9181275;60.3515263
5827500;24.9226548;60.3515971
5827501;24.927182;60.3516677
5827526;25.040371;60.3533836
5827527;25.0448989;60.3534502
5827528;25.0494267;60.3535167
5827529;25.0539546;60.353583
5827530;25.0584825;60.3536492
5827531;25.0630104;60.3537152
5827532;25.0675384;60.3537811
5827533;25.0720664;60.3538468
5827534;25.0765944;60.3539123
5827535;25.0811224;60.3539777
5827536;25.0856504;60.354043
5827537;25.0901785;60.3541081
5827538;25.0947065;60.354173
5827539;25.0992346;60.3542378
5827540;25.1037627;60.3543024
5827541;25.1082909;60.3543669
5827542;25.112819;60.3544312
5827543;25.1173472;60.3544954
5827544;25.1218754;60.3545594
5827545;25.1264037;60.3546233
5827546;25.1309319;60.354687
5827547;25.1354602;60.3547505
